bank,sound,rate,samples,seconds,offset,file
6,1,18000,30072,1.671,717962,bank006/001.wav
7,0,18000,14924,0.829,843054,bank007/000.wav
7,1,18000,6664,0.37,843054,bank007/001.wav
8,0,18000,47152,2.62,891034,bank008/000.wav
8,1,18000,26207,1.456,891034,bank008/001.wav
8,2,18000,20389,1.133,891034,bank008/002.wav
9,0,18000,11032,0.613,1083334,bank009/000.wav
9,1,18000,12292,0.683,1083334,bank009/001.wav
10,0,18000,52500,2.917,1134786,bank010/000.wav
10,1,18000,22959,1.276,1134786,bank010/001.wav
10,2,18000,25838,1.435,1134786,bank010/002.wav
11,0,18000,23408,1.3,1342184,bank011/000.wav
11,1,22050,7448,0.338,1342184,bank011/001.wav
12,0,20000,15708,0.785,1408700,bank012/000.wav
12,1,15000,15148,1.01,1408700,bank012/001.wav
12,2,22050,4145,0.188,1408700,bank012/002.wav
12,3,22050,7448,0.338,1408700,bank012/003.wav
12,4,22050,310,0.014,1408700,bank012/004.wav
13,0,8000,29792,3.724,1499022,bank013/000.wav
13,1,12000,12656,1.055,1499022,bank013/001.wav
14,0,16950,10332,0.61,1588722,bank014/000.wav
14,1,12000,12656,1.055,1588722,bank014/001.wav
15,0,16950,31023,1.83,1639502,bank015/000.wav
16,0,18000,24668,1.37,1706352,bank016/000.wav
17,0,15000,33152,2.21,1760492,bank017/000.wav
17,1,12000,12656,1.055,1760492,bank017/001.wav
18,0,18000,9632,0.535,1856912,bank018/000.wav
18,1,18000,12908,0.717,1856912,bank018/001.wav
19,0,18000,60060,3.337,1906796,bank019/000.wav
19,1,18000,19235,1.069,1906796,bank019/001.wav
19,2,18000,33861,1.881,1906796,bank019/002.wav
20,0,26600,14211,0.534,2137912,bank020/000.wav
20,1,22050,1628,0.074,2137912,bank020/001.wav
20,2,22050,1358,0.062,2137912,bank020/002.wav
20,3,22050,1968,0.089,2137912,bank020/003.wav
20,4,26000,7456,0.287,2137912,bank020/004.wav
20,5,26000,7780,0.299,2137912,bank020/005.wav
20,6,26000,8254,0.317,2137912,bank020/006.wav
20,7,26000,7120,0.274,2137912,bank020/007.wav
20,8,26000,8491,0.327,2137912,bank020/008.wav
20,9,26000,9331,0.359,2137912,bank020/009.wav
20,10,26000,13878,0.534,2137912,bank020/010.wav
20,11,26000,12089,0.465,2137912,bank020/011.wav
20,12,26000,12167,0.468,2137912,bank020/012.wav
20,13,26000,16152,0.621,2137912,bank020/013.wav
20,14,26000,10565,0.406,2137912,bank020/014.wav
20,15,26000,16481,0.634,2137912,bank020/015.wav
20,16,21000,6682,0.318,2137912,bank020/016.wav
20,17,21600,7023,0.325,2137912,bank020/017.wav
20,18,22000,8634,0.392,2137912,bank020/018.wav
20,19,26000,5462,0.21,2137912,bank020/019.wav
20,20,26000,3792,0.146,2137912,bank020/020.wav
20,21,26000,3722,0.143,2137912,bank020/021.wav
20,22,22050,3040,0.138,2137912,bank020/022.wav
20,23,22050,4288,0.194,2137912,bank020/023.wav
21,0,26000,10578,0.407,2525860,bank021/000.wav
21,1,26000,12476,0.48,2525860,bank021/001.wav
21,2,26000,9612,0.37,2525860,bank021/002.wav
22,0,26000,11203,0.431,2595996,bank022/000.wav
22,1,26000,9486,0.365,2595996,bank022/001.wav
22,2,26000,9926,0.382,2595996,bank022/002.wav
23,0,26000,12658,0.487,2662030,bank023/000.wav
23,1,26000,12597,0.484,2662030,bank023/001.wav
23,2,26000,11487,0.442,2662030,bank023/002.wav
24,0,26000,12746,0.49,2740318,bank024/000.wav
24,1,26000,12042,0.463,2740318,bank024/001.wav
24,2,26000,12645,0.486,2740318,bank024/002.wav
25,0,16000,18928,1.183,2819988,bank025/000.wav
25,1,16000,9436,0.59,2819988,bank025/001.wav
26,0,16000,58381,3.649,2881520,bank026/000.wav
26,1,16000,36551,2.284,2881520,bank026/001.wav
26,2,16000,27968,1.748,2881520,bank026/002.wav
27,0,18000,13860,0.77,3132124,bank027/000.wav
27,1,18000,14336,0.796,3132124,bank027/001.wav
28,0,18000,67032,3.724,3193320,bank028/000.wav
28,1,18000,39171,2.176,3193320,bank028/001.wav
28,2,18000,18787,1.044,3193320,bank028/002.wav
29,0,18000,20132,1.118,3448104,bank029/000.wav
29,1,18000,21448,1.192,3448104,bank029/001.wav
29,2,18000,20243,1.125,3448104,bank029/002.wav
30,0,17924,3556,0.198,3576554,bank030/000.wav
30,1,18000,10528,0.585,3576554,bank030/001.wav
31,0,18000,63420,3.523,3609526,bank031/000.wav
31,1,17924,9155,0.511,3609526,bank031/001.wav
31,2,18000,19642,1.091,3609526,bank031/002.wav
32,0,16000,10612,0.663,3798764,bank032/000.wav
32,1,12000,7588,0.632,3798764,bank032/001.wav
32,2,20000,12740,0.637,3798764,bank032/002.wav
32,3,20200,29288,1.45,3798764,bank032/003.wav
32,4,15000,6245,0.416,3798764,bank032/004.wav
32,5,18000,15933,0.885,3798764,bank032/005.wav
32,6,18000,11558,0.642,3798764,bank032/006.wav
32,7,18000,14890,0.827,3798764,bank032/007.wav
32,8,18000,13989,0.777,3798764,bank032/008.wav
32,9,18000,13565,0.754,3798764,bank032/009.wav
32,10,18000,6489,0.36,3798764,bank032/010.wav
32,11,18000,10214,0.567,3798764,bank032/011.wav
32,12,12000,2134,0.178,3798764,bank032/012.wav
32,13,12000,2926,0.244,3798764,bank032/013.wav
32,14,15000,1436,0.096,3798764,bank032/014.wav
32,15,20000,8303,0.415,3798764,bank032/015.wav
32,16,20000,9392,0.47,3798764,bank032/016.wav
32,17,18000,9072,0.504,3798764,bank032/017.wav
32,18,20000,7325,0.366,3798764,bank032/018.wav
32,19,18000,6174,0.343,3798764,bank032/019.wav
32,20,22100,13222,0.598,3798764,bank032/020.wav
32,21,22100,12544,0.568,3798764,bank032/021.wav
32,22,21000,11712,0.558,3798764,bank032/022.wav
32,23,22100,11959,0.541,3798764,bank032/023.wav
32,24,22100,13712,0.62,3798764,bank032/024.wav
32,25,22100,11935,0.54,3798764,bank032/025.wav
32,26,22100,14260,0.645,3798764,bank032/026.wav
32,27,22100,10295,0.466,3798764,bank032/027.wav
32,28,22100,13272,0.601,3798764,bank032/028.wav
32,29,19000,5236,0.276,3798764,bank032/029.wav
32,30,8000,11775,1.472,3798764,bank032/030.wav
32,31,8000,2511,0.314,3798764,bank032/031.wav
32,32,11000,4401,0.4,3798764,bank032/032.wav
32,33,12000,2068,0.172,3798764,bank032/033.wav
32,34,18000,4519,0.251,3798764,bank032/034.wav
32,35,18000,5257,0.292,3798764,bank032/035.wav
32,36,15000,3549,0.237,3798764,bank032/036.wav
32,37,18000,4740,0.263,3798764,bank032/037.wav
32,38,15000,7862,0.524,3798764,bank032/038.wav
32,39,12000,3741,0.312,3798764,bank032/039.wav
32,40,18000,3120,0.173,3798764,bank032/040.wav
32,41,18000,11516,0.64,3798764,bank032/041.wav
32,42,18000,11869,0.659,3798764,bank032/042.wav
32,43,18000,11808,0.656,3798764,bank032/043.wav
32,44,18000,12330,0.685,3798764,bank032/044.wav
32,45,18000,3445,0.191,3798764,bank032/045.wav
32,46,15000,10473,0.698,3798764,bank032/046.wav
32,47,18000,5616,0.312,3798764,bank032/047.wav
32,48,18000,5928,0.329,3798764,bank032/048.wav
